评论用户,评论概述,评论链接,星级评分,评论地点,评论时间,类型,是否购买,评论详情,觉得该评论有帮助的人数
sule,It is not the same as the photo,https://www.amazon.com/gp/customer-reviews/R2MNKQLR5MLW6O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"2.0 "," the United States "," November 17, 2024",Size: 12Color: Black,Verified Purchase,The blouse doesn't look the same as the photo. The buttons are different and it looks of a cheaper quality. I don't think I could expect more for that price 😬 The lace and the fabric of the blouse look different and cheap then the photo.,
Amazon Customer,sleeves are way too short and cheap materials,https://www.amazon.com/gp/customer-reviews/RA2VUTAQSNNF8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"1.0 "," the United States "," November 10, 2024",Size: 12Color: White,Verified Purchase,"This shirt is really hot, and the cheap material doesn’t breathe.  The sleeves are 3 inches too short for me. I’m 5’8”.",
Emily Downey,Buttons different color than photo,https://www.amazon.com/gp/customer-reviews/R25W5HKIR2KCET/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"4.0 "," the United States "," October 31, 2024",Size: 2Color: Black,Verified Purchase,Shirt fits small as others have said but I am small so it fits me well. My only complaint is that the buttons have a silver metal ring around them while the photo shows them as plain black on the black version of this shirt. I bought this for a costume so I will need to somehow fix the metal part to resemble the photo.,
inkybrown,I feel it runs a little large but it's very classy,https://www.amazon.com/gp/customer-reviews/R85FZLPLINNGC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"4.0 "," the United States "," October 26, 2024",Size: 12Color: Spread Collar Black,Verified Purchase,"I originally got the size recommended by Amazon from my other purchases, but it was too big. Luckily they had it in a smaller size.",
Darci,"Darling shirt, but too sheer and doesn't fit.",https://www.amazon.com/gp/customer-reviews/R355XT879I8M69/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"2.0 "," the United States "," October 16, 2024",Size: 2Color: White,Verified Purchase,"I ordered the women's Victorian pleated button down shirt in white.I wanted this to work on me so bad.  The collar and lace details are so super cute.  The construction of the shirt is sound.  But the shirt itself is VERY sheer.  It even has a sewn-in lining and it's still super see-through.Unfortunately, this is a deal-breaker for me.  When I buy a shirt, I only want to wear the one shirt, not an undershirt with it.Also, I'm tall (5'9""), and the fit of the shirt was alright horizontally but not vertically/longwise.  So I'm sorry to part ways with this beautiful thing, but it just doesn't fit me.",
Maris Dodge,"Strong material, but breathable and gorgeous!",https://www.amazon.com/gp/customer-reviews/R221ADH4G87JLS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," October 12, 2024",Size: 20Color: White,Verified Purchase,"Absolutely loved this blouse for a reenactment I did recently. It was true to size and the buttons didn’t pull at the bust, which seems hard to find. Super comfortable, material is strong yet not super thick, somewhat see through but does fine with undergarments of the same color. Absolutely loved the color as well, it wasn’t too bright white but not yellowish either. Would buy again!",13
Lindsay Hill,"Cute design, but smelled horrible and fit was weird!",https://www.amazon.com/gp/customer-reviews/R3751IGYOW8O4X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"2.0 "," the United States "," October 3, 2024",Size: 4Color: White,Verified Purchase,"Just got this and was so excited because an influencer linked it. It is cute, but smells horrible! Also the sleeves are a little short as is the length. I am 5’2” and it is short on my arms and body it is going to be really short on someone tall. Maybe sizing up would help. I will be returning this!",
Jen M.,Great looking top,https://www.amazon.com/gp/customer-reviews/R39C4TIFY8ES3L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," September 30, 2024",Size: 4Color: Black,Verified Purchase,Classy looking and the fit is spot on. Can dress up or wear casually. Timeless piece! Great find!,
mamamegan,Very Victorian and claasy,https://www.amazon.com/gp/customer-reviews/R11K8XMV0T8WZE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," September 30, 2024",Size: 20Color: Black,Verified Purchase,"I needed this for a Victorian play, but I wear it now with jeans and it’s really cute.  Runs small.",2
M H,Looks great,https://www.amazon.com/gp/customer-reviews/R18Q8Q2W02ZV3Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," September 10, 2024",Size: 16Color: Black,Verified Purchase,"The sleeves are long for me, but the blouse does the vintage look well.  I have the ecru one of the same style so was comfortable ordering.",
Amazon Customer,Black blouse,https://www.amazon.com/gp/customer-reviews/RRDQ6SBZ5KZY2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0D12G6W89,"5.0 "," the United States "," September 5, 2024",Size: 12Color: Black,Verified Purchase,Very elegant and pretty. I loved the fit and comfort,
